dataset,lf_index,coverage,accuracy,precision_positive,recall_positive,f1_positive,precision_negative,recall_negative,f1_negative,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,conflict_rate,positive_bias,n_abstain,n_positive,n_negative,n_labeled,total_samples,true_negatives,false_positives,false_negatives,true_positives
census,78,0.14728825010748725,0.6909924937447873,0.0,0.0,0.0,0.6909924937447873,1.0,0.8172626387176326,0.34549624687239366,0.5,0.4086313193588163,0.47747062641163995,0.6909924937447873,0.564722348771942,0.18504559270516718,0.0,13883,0,2398,2398,16281,,,,
census,79,0.0029482218536944905,0.3541666666666667,0.0,0.0,0.0,0.3541666666666667,1.0,0.5230769230769231,0.17708333333333334,0.5,0.26153846153846155,0.1254340277777778,0.3541666666666667,0.18525641025641026,0.696969696969697,0.0,16233,0,48,48,16281,,,,
census,80,0.034395921626435726,0.7017857142857142,0.7017857142857142,1.0,0.8247639034627492,0.0,0.0,0.0,0.3508928571428571,0.5,0.4123819517313746,0.4925031887755102,0.7017857142857142,0.5788075251086793,0.6759868421052632,1.0,15721,560,0,560,16281,,,,
census,81,0.6885326454149008,0.7837644959857271,0.0,0.0,0.0,0.7837644959857271,1.0,0.8787757551510302,0.39188224799286353,0.5,0.4393878775755151,0.6142867851677607,0.7837644959857271,0.6887532368204239,0.10393612235717499,0.0,5071,0,11210,11210,16281,,,,
census,82,0.08113752226521713,0.732778198334595,0.0,0.0,0.0,0.732778198334595,1.0,0.8457841852337264,0.3663890991672975,0.5,0.4228920926168632,0.536963887954495,0.732778198334595,0.6197722114354633,0.12396694214876033,0.0,14960,0,1321,1321,16281,,,,
imdb,0,0.00152,0.5,0.5,1.0,0.6666666666666666,0.0,0.0,0.0,0.25,0.5,0.3333333333333333,0.25,0.5,0.3333333333333333,0.4782608695652174,1.0,24962,38,0,38,25000,,,,
imdb,1,0.82896,0.7492762015055009,0.733,0.7811470645223794,0.7563080386455304,0.7676881941587824,0.7176504518361854,0.7418264930935109,0.7503440970793912,0.7493987581792824,0.7490672658695207,0.7504110497799485,0.7492762015055009,0.7490393146138711,0.36329885971890746,0.5307855626326964,4276,11000,9724,20724,25000,7465.0,2937.0,2259.0,8063.0
imdb,2,0.09784,0.6672117743254292,0.6648738105088954,0.9975170701427685,0.797914597815293,0.8620689655172413,0.029940119760479042,0.05787037037037037,0.7634713880130684,0.5137285949516237,0.42789248409283165,0.7321910445366832,0.6672117743254292,0.545282982967987,0.3711018711018711,0.9881439084219134,22554,2417,29,2446,25000,25.0,810.0,4.0,1607.0
imdb,3,0.2432,0.675,0.5915783274440518,0.7732871439568899,0.670337003670337,0.7805514157973175,0.6016657093624354,0.6795329224781057,0.6860648716206846,0.6874764266596627,0.6749349630742214,0.699802717846366,0.675,0.6756034821717598,0.3706387999325805,0.5585526315789474,18920,3396,2684,6080,25000,2095.0,1387.0,589.0,2009.0
imdb,4,0.0096,0.9625,0.9577464788732394,1.0,0.9784172661870503,1.0,0.75,0.8571428571428571,0.9788732394366197,0.875,0.9177800616649536,0.9640845070422535,0.9625,0.9602261048304214,0.014035087719298246,0.8875,24760,213,27,240,25000,27.0,9.0,0.0,204.0
yelp,0,0.07581578947368421,0.9496702533842416,0.9471022948269155,0.9963175122749591,0.971086739780658,0.9709677419354839,0.6887871853546911,0.8058902275769746,0.9590350183811998,0.8425523488148251,0.8884884836788163,0.9507222880190171,0.9496702533842416,0.946029163996899,0.014132278123233465,0.8923984727525165,35119,2571,310,2881,38000,301.0,136.0,9.0,2435.0
yelp,1,0.06905263157894737,0.6516768292682927,0.6516768292682927,1.0,0.7891093677895709,0.0,0.0,0.0,0.32583841463414637,0.5,0.39455468389478543,0.42468268980517554,0.6516768292682927,0.5142442907470145,0.24061552809512707,1.0,35376,2624,0,2624,38000,,,,
yelp,2,0.698921052631579,0.7193794947098912,0.6849709522606718,0.9176367081754196,0.7844146828266466,0.8200768775872265,0.470762963591615,0.5981560360166064,0.7525239149239491,0.6941998358835173,0.6912853594216265,0.7449112029524445,0.7193794947098912,0.7017803353224973,0.27147031883805123,0.7453217365111638,11441,19795,6764,26559,38000,5547.0,6236.0,1217.0,13559.0
yelp,3,0.1353421052631579,0.7377017305074859,0.6868189806678383,0.8101160862354893,0.7433897660262507,0.8006962576153177,0.6737458806298059,0.7317558162656591,0.743757619141578,0.7419309834326475,0.7375727911459549,0.7472892982535988,0.7377017305074859,0.7372119871430743,0.3574144486692015,0.5531790783589344,32857,2845,2298,5143,38000,1840.0,891.0,458.0,1954.0
yelp,4,0.21594736842105264,0.7131367292225201,0.6647117962466488,0.9182870370370371,0.7711897356143079,0.8422698838248436,0.48507462686567165,0.6156107119529719,0.7534908400357462,0.7016808319513543,0.6934002237836399,0.7487954823700785,0.7131367292225201,0.6975143656474602,0.27794638340920585,0.7272727272727273,29794,5968,2238,8206,38000,1885.0,2001.0,353.0,3967.0
yelp,5,0.0865,0.6297535746881655,0.5740950226244343,0.6862745098039216,0.6251924853711117,0.6945358788676761,0.5835176991150443,0.634204989480012,0.6343154507460552,0.634896104459483,0.6296987374255618,0.6403429897944317,0.6297535746881655,0.6301497739104764,0.4252760252365931,0.5378764831153027,34713,1768,1519,3287,38000,1055.0,753.0,464.0,1015.0
